iter	Passed	Remaining
466	22278	25427
467	22325	25378
468	22375	25333
469	22419	25281
470	22465	25231
471	22515	25186
472	22560	25135
473	22608	25088
474	22652	25036
475	22699	24988
476	22746	24940
477	22792	24890
478	22842	24845
479	22885	24792
480	22937	24749
481	22983	24700
482	23027	24647
483	23073	24599
484	23121	24552
485	23172	24507
486	23223	24463
487	23270	24415
488	23314	24363
489	23359	24312
490	23408	24266
491	23459	24222
492	23508	24176
493	23553	24125
494	23602	24078
495	23652	24033
496	23699	23985
497	23746	23937
498	23795	23890
499	23842	23842
500	23888	23793
501	23939	23748
502	23986	23700
503	24030	23649
504	24074	23597
505	24124	23552
506	24171	23504
507	24215	23452
508	24263	23405
509	24308	23355
510	24354	23305
511	24402	23258
512	24451	23212
513	24496	23162
514	24544	23114
515	24590	23065
516	24638	23018
517	24684	22969
518	24728	22917
519	24773	22867
520	24824	22823
521	24876	22779
522	24920	22728
523	24969	22682
524	25017	22634
525	25070	22592
526	25116	22542
527	25164	22495
528	25208	22444
529	25251	22393
530	25303	22349
531	25351	22301
532	25400	22255
533	25446	22206
534	25494	22159
535	25541	22110
536	25591	22064
537	25636	22014
538	25680	21964
539	25732	21919
540	25782	21874
541	25828	21825
542	25876	21778
543	25923	21730
544	25967	21679
545	26015	21631
546	26066	21586
547	26109	21535
548	26154	21485
549	26203	21439
550	26254	21394
551	26311	21354
552	26360	21307
553	26408	21260
554	26456	21213
555	26506	21167
556	26552	21118
557	26600	21070
558	26646	21021
559	26695	20974
560	26745	20929
561	26793	20881
562	26841	20834
563	26891	20788
564	26936	20738
565	26983	20690
566	27029	20641
567	27077	20594
568	27121	20544
569	27169	20496
570	27219	20450
571	27271	20406
572	27315	20355
573	27359	20305
574	27403	20255
575	27450	20206
576	27498	20159
577	27543	20109
578	27593	20063
579	27643	20017
580	27690	19969
581	27740	19923
582	27785	19874
583	27830	19824
584	27873	19773
585	27921	19726
586	27970	19679
587	28014	19628
588	28061	19581
589	28105	19531
590	28152	19482
591	28200	19435
592	28243	19384
593	28291	19337
594	28338	19289
595	28385	19241
596	28435	19195
597	28479	19145
598	28523	19095
599	28572	19048
600	28623	19003
601	28675	18958
602	28724	18911
603	28773	18864
604	28816	18814
605	28867	18768
606	28912	18719
607	28961	18672
608	29009	18625
609	29058	18578
610	29104	18529
611	29152	18482
612	29197	18433
613	29245	18385
614	29294	18338
615	29340	18290
616	29388	18242
617	29432	18192
618	29476	18143
619	29520	18093
620	29565	18044
621	29614	17997
622	29664	17950
623	29711	17903
624	29759	17855
625	29807	17808
626	29859	17763
627	29907	17715
628	29951	17666
629	29999	17618
630	30046	17570
631	30093	17522
632	30143	17476
633	30192	17429
634	30240	17382
635	30288	17335
636	30339	17289
637	30387	17241
638	30436	17194
639	30481	17145
640	30529	17098
641	30577	17050
642	30623	17002
643	30668	16953
644	30712	16903
645	30765	16858
646	30813	16811
647	30861	16764
648	30909	16716
649	30957	16669
650	31000	16619
651	31049	16572
652	31094	16523
653	31144	16477
654	31195	16431
655	31250	16387
656	31293	16337
657	31338	16288
658	31391	16243
659	31437	16194
660	31481	16145
661	31527	16096
662	31575	16049
663	31624	16002
664	31670	15954
665	31715	15905
666	31764	15858
667	31807	15808
668	31854	15760
669	31904	15713
670	31948	15664
671	31993	15615
672	32041	15568
673	32087	15520
674	32138	15474
675	32187	15426
676	32236	15380
677	32283	15332
678	32331	15284
679	32381	15238
680	32426	15189
681	32473	15141
682	32517	15092
683	32567	15045
684	32615	14998
685	32663	14951
686	32712	14904
687	32763	14857
688	32809	14809
689	32858	14762
690	32902	14713
691	32952	14666
692	32997	14618
693	33043	14569
694	33093	14523
695	33137	14473
696	33186	14427
697	33232	14378
698	33279	14330
699	33329	14284
700	33374	14235
701	33418	14186
702	33463	14137
703	33513	14091
704	33565	14044
705	33614	13998
706	33658	13949
707	33702	13900
708	33750	13852
709	33800	13806
710	33848	13758
711	33897	13711
712	33942	13662
713	33992	13616
714	34041	13568
715	34089	13521
716	34137	13474
717	34181	13425
718	34227	13376
719	34279	13331
720	34328	13283
721	34371	13234
722	34415	13185
723	34462	13137
724	34512	13091
725	34556	13042
726	34600	12993
727	34647	12945
728	34694	12897
729	34743	12850
730	34787	12801
731	34835	12754
732	34883	12706
733	34928	12658
734	34977	12610
735	35021	12562
736	35065	12513
737	35114	12465
738	35159	12417
739	35211	12371
740	35261	12324
741	35309	12277
742	35353	12228
743	35400	12180
744	35452	12134
745	35501	12087
746	35545	12039
747	35590	11990
748	35637	11942
749	35688	11896
750	35732	11847
751	35777	11798
752	35822	11750
753	35869	11702
754	35917	11655
755	35962	11606
756	36010	11559
757	36059	11512
758	36108	11465
759	36160	11419
760	36204	11370
761	36254	11323
762	36302	11276
763	36349	11228
764	36396	11180
765	36441	11132
766	36489	11084
767	36534	11036
768	36580	10988
769	36627	10940
770	36671	10891
771	36719	10844
772	36768	10797
773	36816	10750
774	36868	10703
775	36912	10655
776	36956	10606
777	37005	10559
778	37054	10512
779	37103	10465
780	37151	10417
781	37197	10369
782	37241	10321
783	37288	10273
784	37335	10225
785	37380	10177
786	37424	10128
787	37468	10080
788	37515	10032
789	37563	9985
790	37612	9937
791	37655	9889
792	37700	9841
793	37745	9793
794	37799	9747
795	37843	9698
796	37887	9650
797	37931	9601
798	37982	9555
799	38033	9508
800	38076	9459
801	38124	9412
802	38169	9364
803	38220	9317
804	38270	9270
805	38320	9223
806	38369	9176
807	38418	9129
808	38465	9081
809	38510	9033
810	38554	8985
811	38598	8936
812	38642	8888
813	38687	8840
814	38736	8792
815	38781	8744
816	38829	8697
817	38872	8648
818	38919	8601
819	38967	8553
820	39012	8505
821	39057	8457
822	39106	8410
823	39153	8362
824	39205	8316
825	39253	8268
826	39300	8221
827	39345	8173
828	39396	8126
829	39447	8079
830	39491	8031
831	39535	7983
832	39579	7934
833	39625	7887
834	39678	7840
835	39725	7793
836	39775	7745
837	39819	7697
838	39871	7651
839	39918	7603
840	39961	7555
841	40005	7506
842	40054	7459
843	40099	7411
844	40150	7364
845	40194	7316
846	40243	7269
847	40288	7221
848	40340	7174
849	40391	7127
850	40435	7079
851	40485	7032
852	40531	6984
853	40582	6938
854	40629	6890
855	40678	6843
856	40728	6795
857	40773	6748
858	40821	6700
859	40871	6653
860	40915	6605
861	40964	6558
862	41010	6510
863	41056	6462
864	41107	6415
865	41153	6367
866	41211	6321
867	41260	6274
868	41308	6227
869	41353	6179
870	41402	6131
871	41450	6084
872	41500	6037
873	41547	5989
874	41596	5942
875	41641	5894
876	41684	5846
877	41730	5798
878	41777	5751
879	41821	5702
880	41866	5655
881	41910	5607
882	41956	5559
883	42008	5512
884	42056	5464
885	42101	5417
886	42149	5369
887	42196	5322
888	42244	5274
889	42291	5227
890	42336	5179
891	42381	5131
892	42432	5084
893	42479	5036
894	42528	4989
895	42572	4941
896	42621	4894
897	42672	4847
898	42718	4799
899	42762	4751
900	42806	4703
901	42850	4655
902	42895	4607
903	42944	4560
904	42994	4513
905	43042	4465
906	43089	4418
907	43136	4370
908	43182	4322
909	43226	4275
910	43273	4227
911	43317	4179
912	43367	4132
913	43415	4085
914	43464	4037
915	43508	3989
916	43552	3942
917	43598	3894
918	43650	3847
919	43693	3799
920	43740	3751
921	43784	3704
922	43830	3656
923	43881	3609
924	43929	3561
925	43974	3514
926	44023	3466
927	44073	3419
928	44119	3371
929	44167	3324
930	44212	3276
931	44261	3229
932	44308	3181
933	44354	3134
934	44399	3086
935	44443	3038
936	44491	2991
937	44538	2943
938	44589	2896
939	44637	2849
940	44681	2801
941	44732	2754
942	44784	2707
943	44835	2659
944	44884	2612
945	44931	2564
946	44980	2517
947	45032	2470
948	45083	2422
949	45131	2375
950	45178	2327
951	45228	2280
952	45280	2233
953	45327	2185
954	45372	2137
955	45417	2090
956	45464	2042
957	45511	1995
958	45563	1947
959	45607	1900
960	45655	1852
961	45708	1805
962	45759	1758
963	45807	1710
964	45851	1663
965	45899	1615
966	45942	1567
967	45989	1520
968	46041	1472
969	46085	1425
970	46129	1377
971	46174	1330
972	46224	1282
973	46273	1235
974	46318	1187
975	46362	1140
976	46406	1092
977	46451	1044
978	46503	997
979	46547	949
980	46592	902
981	46636	854
982	46683	807
983	46731	759
984	46780	712
985	46827	664
986	46876	617
987	46923	569
988	46969	522
989	47017	474
990	47067	427
991	47114	379
992	47162	332
993	47212	284
994	47260	237
995	47309	189
996	47358	142
997	47404	94
998	47452	47
999	47497	0
